,Hate Speech,CounterSpeech,Intent,Target,Emotion
759,Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),It sounds to me like you just have an issue with the people going about their religion peacefully. Which is more Islamophobia than how your city looks. ,Denouncing,MUSLIMS,neutral
958,"According to the Bible, then gays are an abomination to God.",The Bible clearly teaches that everyone is born equal in dignity with the Lord. Homosexuality has been practiced throughout history in all major civilizations. It is just that today's people accept homosexuality as normal and accept people of other backgrounds too.,Informative,LGBT+,neutral
959,"According to the Bible, then gays are an abomination to God.",Have you even read the Bible? there is no evidence that these in any way speak to same-sex relationships of love and mutuality. ,Denouncing,LGBT+,neutral
960,"According to the Bible, then gays are an abomination to God.",So is meat! That doesn't stop you from eating at KFC. ,Humor,LGBT+,neutral
1039,"Afro-Saxon got access to health care, however they are still complaining.","In fact, it is not the access to health care, but what matters is the quality of care, which should be of the utmost importance.",Informative,POC,neutral
1040,"Afro-Saxon got access to health care, however they are still complaining.",Because it is not the access to health care that is important but rather the quality of the care! Don't you agree?,Question,POC,neutral
1095,A woman's place is with her husband or his family. This is what they are made of.,"There are many cases where the wife works and provides for the family, making a valuable contribution. It is a source of pride for modern men to be married to these women.",Informative,WOMEN,neutral
1096,A woman's place is with her husband or his family. This is what they are made of.,I would love to see this person get a female boss.,Humor,WOMEN,neutral
1097,A woman's place is with her husband or his family. This is what they are made of.,"Women cannot be confined at home, they are important for our society, and their presence is needed everywhere.",Positive,WOMEN,neutral
1100,"Afrocentricity is a force of black oppression, and only perpetuates inequality.","Most cultures and ethnicities, regardless of their differences, demands respect for a person's personal life. Therefore, when it comes to identity we have to be respectful.",Informative,POC,neutral
1101,"Afrocentricity is a force of black oppression, and only perpetuates inequality.","First of all, you have to understand that every single person in every country has the right to self-determination.",Positive,POC,neutral
