Hatespeech,Counterspeech
Maybe the UN could talk to those asian and african nations responsible for 90+ of the pollution in the oceans instead of insisting on this bullshit about climate change.,"You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Maybe the UN could talk to those asian and african nations responsible for 90+ of the pollution in the oceans instead of insisting on this bullshit about climate change.Counterspeech:"
Maybe the UN could talk to those asian and african nations responsible for 90+ of the pollution in the oceans instead of insisting on this bullshit about climate change.,"You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Maybe the UN could talk to those asian and african nations responsible for 90+ of the pollution in the oceans instead of insisting on this bullshit about climate change.Counterspeech:"
"Juice Jews are worse that nukes. Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Juice Jews are worse that nukes. Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and presents day. Use a quote from Gandhi.Counterspeech:"
"Juice Jews are worse that nukes. Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Juice Jews are worse that nukes. Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and presents day. Replace the word “nuke” with “bomb”.Counterspeech:"
Foreigners on UK benefits leaps 41 in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Hate speech: Foreigners on UK benefits leaps 41 in 5 years with over 400K now handed payouts. This nonsense has got to stop.You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate. This is your chance to make a difference.Counterspeech:"
Foreigners on UK benefits leaps 41 in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Hate speech: Foreigners on UK benefits leaps 41 in 5 years with over 400K now handed payouts. This nonsense has got to stop.You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate. This is your chance to make a difference.Counterspeech:"
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Jews cannot be patriots, since their allegiance will always be to the state of Israel.Counterspeech:"
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Jews cannot be patriots, since their allegiance will always be to the state of Israel. You are not a patriot, you are a Jew.Counterspeech:"
"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.","You are Mahatma Gandhi. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.Counterspeech:"
"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.","You are Nelson Mandela. Respond to the following hate speech with a counterspeech rooted in nonviolence, truth, peace, and understanding. Use one of your quotes if appropriate.Hate speech: Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.Counterspeech:"
